Category,Data Point,How It's Used / Applied,How to Access (High Level),Additional Context (Expanded reasoning from reports)
Price/Volume/Technicals,OHLCV (multi-timeframe),Structure + timing; confirm trend and locate swings/pivots across weekly/daily/4h/1h.,"Charting APIs (TradingView, Alpha Vantage, Polygon) or broker feeds; EOD or intraday websockets.",Core substrate for most discretionary strategies; multi-timeframe alignment reduces false positives.
Price/Volume/Technicals,Market Structure (HH/HL/LH/LL),Detect trend transitions and failed breaks; manage bias.,Derived from price series; any charting library/TA package.,More robust than single indicators; frames expectation before indicators fire.
Price/Volume/Technicals,Momentum (RSI/MACD/Rate of Change),Measure impulse/exhaustion; filter entries and exits.,Indicator calculations client-side or via TA libraries.,Works best combined with structure; standalone momentum is noisy in choppy regimes.
Price/Volume/Technicals,Volatility (ATR/Bollinger Bands),"Size positions, set stops/targets; detect squeezes/expansions.",Compute from OHLCV locally; most APIs include ATR-compatible candles.,Volatility regime awareness is crucial for win/loss asymmetry.
Price/Volume/Technicals,Volume Profile / VWAP,"Identify value areas, supply/demand zones, mean-reversion targets.",Exchange/broker volume + session handling; TradingView/ToS/TrendSpider.,Institutional participants anchor around volume-weighted levels; aids intraday to swing.
Price/Volume/Technicals,Breadth Divergences (RS vs Index),Confirm/contradict index moves; spot stealth distribution/accumulation.,Compute relative strength vs benchmarks from price APIs.,Prevents ‘index-only’ bias; RS leadership often precedes breakouts.
Market Internals/Breadth,Advance/Decline Line & Up/Down Volume,Assess participation; weak internals warn against chasing breakouts.,"Exchange stats (NYSE/Nasdaq), Koyfin/Finviz aggregations.",Breadth confirms or contradicts headline index moves; EOD adequate for swing.
Market Internals/Breadth,% Above 50/200-day MA,Gauge health across constituents; risk-on/off filter.,Compute from constituent price data; scanners provide precomputed figures.,Simple yet powerful regime proxy when combined with macro signals.
Market Internals/Breadth,Tick/TRIN,Intraday pressure/overextension; timing around opens/events.,Realtime internals via brokers/data vendors.,"Best for day/swing timing around catalysts, not standalone signals."
Market Internals/Breadth,52-week High/Low Counts,Identify leadership & exhaustion; confirm breakout environments.,Exchange/broker screeners.,High-highs breadth often precedes sustained uptrends.
Options Flow/Volatility,Unusual Options Activity (UOA),Infer speculative/informed positioning; scout for catalysts.,"Cheddar Flow, Optionsonar, InsiderFinance; OPRA via Polygon/Databento.",Look for clusters + context (sweeps pre-event) rather than single prints.
Options Flow/Volatility,Sweeps vs Blocks (tape context),Differentiate urgency and intent; refine signal quality.,Vendors that tag trade types or build heuristics from raw OPRA.,Sweeps imply chasing immediacy; blocks may be negotiated hedges.
Options Flow/Volatility,Put/Call OI & Volume Ratios,Crowding and skew to one side; contrarian or momentum confirms.,Cboe/OPRA aggregates via vendors; broker analytics.,Interpret relative to history and macro regime to avoid false contrarian bets.
Options Flow/Volatility,"Implied Volatility (Level/Rank), Skew",Price of optionality; gauge fear/hedging; structure options trades.,"Options vendors, Cboe DataShop; compute IVR/IVP client-side.",Elevated IV without realized follow-through often precedes vol crush post-event.
Options Flow/Volatility,"Vol Term Structure (VIX futures, contango/backwardation)",Risk regime monitor; hedge timing and exposure throttling.,"CFE futures, VIX term data via vendors.",Backwardation clusters with stress; watch roll dynamics into events.
Options Flow/Volatility,Dealer Gamma / GEX,Predict pinning/squeeze mechanics due to hedging flows.,SpotGamma and similar analytics (model-based).,Useful near OPEX and around key strikes; combine with price/flow confluence.
Options Flow/Volatility,Max Pain / Call-Put Walls,Identify magnet levels and resistance/support zones.,OI heatmaps from options vendors.,"Heuristic, not deterministic; stronger when walls align with volume profile."
News/Catalysts,Real-time Headlines & Tags,Identify catalysts; act on expectation vs outcome.,"Benzinga Pro, Reuters, Bloomberg; broker newsfeeds.",Speed matters for awareness; execution still benefits from reasoned confirmation.
News/Catalysts,Earnings Dates/Results,"Plan risk, structure pre/post trades, compare guide to expectations.","EDGAR, exchange calendars, vendor calendars.",Event windows drive the bulk of single-name volatility.
News/Catalysts,M&A/Regulatory/FDA,Gap risk and trend changes; sector spillovers.,Newswire + specialist sources (FDA calendars).,Idiosyncratic but high impact; pair with options flow for tells.
News/Catalysts,Management Changes/Product Launches,Re-rate potential; narrative shifts.,Newswire + filings (8-K).,Leadership and roadmap shocks often drive multi-quarter trajectories.
Sentiment,VIX & Term Structure,Fear/greed gauge; throttle exposure.,CBOE public data; vendor dashboards.,Use alongside credit/rates; VIX alone can mislead in grind-up regimes.
Sentiment,AAII/Investors Intelligence Surveys,Retail/pro pundit positioning extremes; contrarian filter.,Publisher feeds/APIs; scraped weekly figures.,Works best at extremes and with price confirmation.
Sentiment,News Headline Sentiment,Narrative tone tracking; early warning on regime or story shifts.,NLP on newsfirehose (vendor sentiment or in-house).,Aggregate across sources to avoid single-feed bias.
Sentiment,Social Topic Sentiment & Frequency,"Theme discovery, meme-cycle timing; detect hype/fatigue.","Twitter/Reddit APIs, third-party aggregators.",Volume + velocity + influencer amplification matter more than raw polarity.
Fundamentals/Valuation,"Income Statement (Rev, GM, OpInc, EPS)",Assess growth/profit drivers; sanity-check pricing.,"SEC EDGAR; aggregators (Finnhub, Alpha Vantage).",Line-item decomposition helps tie narrative to numbers.
Fundamentals/Valuation,Cash Flow (OCF/FCF),Quality of earnings and reinvestment capacity.,SEC filings; data vendors.,Free cash flow yield is a powerful relative-value anchor.
Fundamentals/Valuation,Balance Sheet (Leverage/Liquidity),Resilience and multiple sensitivity to rates/credit.,SEC filings; vendor aggregates.,Leverage + duration exposure drive drawdown risk in tightening cycles.
Fundamentals/Valuation,Consensus Estimates & Revisions,Expectation baseline; revision momentum trades.,Premium aggregators; some broker APIs.,"Markets trade delta to expectations, not absolutes."
Fundamentals/Valuation,Valuation Multiples vs Peers,Relative value and mean reversion/expansion potential.,Compute from price + fundamentals; peer sets from industry taxonomies.,Contextualize by growth/quality; avoid naive P/E comparisons.
Fundamentals/Valuation,Capital Allocation (Buybacks/Dividends),Signal of confidence and shareholder yield.,"Filings (10-Q/K, 8-K), press releases.",Buyback velocity can provide downside cushioning in selloffs.
Earnings/Transcripts,Tone/Sentiment & Keyword Surprises,Detect confidence vs hedging language; spot subtle guide changes.,NLP on transcripts; vendor feeds for tags.,Q&A often reveals more than prepared remarks; track management credibility over time.
Earnings/Transcripts,KPI Beats/Misses vs Street,Map price reaction vs magnitude; trade post-earnings drift.,Consensus data + reported results alignment.,Post-earnings drift persists when surprises align with narrative and flows.
Earnings/Transcripts,Guidance Raises/Cuts,Forward-looking anchor; repricing driver.,Earnings releases/8-K; vendor summaries.,Guidance beats headline EPS in explanatory power for multi-week moves.
Ownership/Insider/Dark Pools,13F Positions & Changes,Who owns what; momentum in institutional ownership.,EDGAR/WhaleWisdom/Dataroma.,Lagged but useful for slow money trends and idea gen.
Ownership/Insider/Dark Pools,Insider Buys/Sells (Form 4),Alignment with shareholders; timing tells.,EDGAR; 2iQ/AlphaSense/BamSEC.,Cluster insider buys at lows are stronger than sporadic sales.
Ownership/Insider/Dark Pools,Buyback/ASR Announcements,Supply/demand impact; support for per-share metrics.,"Press releases, filings.",Execution pace matters; watch actual repurchase data if disclosed.
Ownership/Insider/Dark Pools,Dark-Pool Prints/Blocks,Hidden accumulation/distribution clues.,"Specialist vendors (BlackBoxStocks, Quant Data).",Validate with price/volume behavior; avoid chasing single prints.
Sector/Industry,Sector Relative Strength vs Index,Top-down allocation and idea sourcing.,Compute RS from sector ETFs vs SPY/QQQ.,Sector leadership rotates with macro regime; follow breadth within sector.
